min_knee_angle,max_knee_angle,avg_elbow_angle,avg_neck_angle,avg_back_angle,reach_cm,horizontal_distance_bb_saddle_cm,mean_pelvis_angle,pelvis_angle_deviation,mean_spine_angle,arm_length,torso_length,inseam_length,knee_flexion,saddle_height,saddle_position,reach_label,hip_rocking,hip_asymmetry,spine_asymmetry
71.23620356542088,139.15969893075672,151.43991756567186,185.9302781631129,188.81071695789583,42.47281636933397,11.54306321534056,-5.121898814783975,1.0396144810340764,1.74828802139446,69.59996621979941,70.29271988569947,87.13820037527091,under-flexion,normal,too forward,underreach,stable,right-lean,normal
88.52142919229749,138.64425796752,156.10864658599974,166.89545448420665,187.4913201765251,41.658241924628065,5.800325697659367,-4.926259404210992,1.002971433335288,-1.1709780689162148,58.69023991197423,55.13032631383751,81.68927405631044,over-flexion,too high,too forward,underreach,stable,right-lean,normal
81.95981825434215,161.71891031823628,155.20321859580318,194.8957825341926,163.83016794653432,38.5230782500572,7.42329811453739,1.823684567075528,5.250371147156938,-0.3370906810249492,61.93279388739772,64.54099875433764,71.3926723923356,over-flexion,too high,too forward,underreach,unstable,normal,normal
77.9597545259111,138.73411699473272,143.07799809387546,184.52464956276967,196.902896196232,47.14533340202976,12.736793464792507,-0.1567114411290209,1.2636433450483358,2.6006973921774073,68.26561273715636,70.87808800265381,92.96275376721374,under-flexion,normal,too forward,underreach,stable,normal,left lean
64.6805592132731,139.5182404145021,142.98498939482948,166.28815534227817,182.7388880862728,44.53248321017258,10.286858536788197,3.484983003830523,9.770792982961371,4.515672356001527,64.6417868904896,67.60089441282707,94.50822832190953,under-flexion,too low,too forward,underreach,unstable,left-lean,left lean
64.67983561008607,156.57893918462872,145.36348735489827,198.49352229924827,174.54902084542738,52.31401984648007,14.279690617870447,4.995250048122378,2.9985865708725274,-2.733374389922692,69.77142077269788,64.48126248309015,80.77608538029588,normal,too low,too forward,underreach,stable,left-lean,right lean
61.742508365045985,145.7408944857689,147.22149452682075,180.73461853341283,190.26154333981228,35.642191609641166,9.287514083413543,-1.339597467941429,5.253982564283603,-1.8950784483471512,74.2241580244572,67.89284013212699,85.34152018523318,normal,too low,too forward,underreach,unstable,normal,normal
85.98528437324805,157.18486949343134,148.16911162816965,162.9159380748662,170.29461833606535,47.877358551102525,13.698123658139231,1.1569203190157555,1.5502386701100126,5.168872756348952,57.33093375430395,73.13892006297328,81.25746565609367,over-flexion,too high,too forward,underreach,stable,normal,left lean
78.03345035229626,132.28781551475348,153.5939443366669,185.0733161766027,187.7403934818528,50.258977570231224,9.489554374782376,0.0083595335437181,5.698435745541326,0.9421415089133447,69.19135432796122,66.32763601220415,78.04699127215301,under-flexion,normal,too forward,underreach,unstable,normal,normal
81.24217733388136,147.06499177856844,141.1336086433167,170.12795628051242,161.5884483028899,50.189731383766144,14.792482787019853,5.7793278677091955,4.419605126326676,-3.8524581943799876,59.606883112642294,70.99572382920212,71.93296982144518,over-flexion,too high,too forward,underreach,stable,left-lean,right lean
60.61753482887407,131.1764760064149,140.69345408452133,192.1477380750921,193.57632150437087,52.7214793419105,14.598343813988768,3.9730128882791416,1.4019402598950137,1.9643416669485934,63.28953454815139,74.61485450450395,81.40169325993247,under-flexion,too low,too forward,underreach,stable,left-lean,normal
89.09729556485983,132.1928621209374,147.83821125887818,192.71288294264764,177.92683388085274,49.58067485658988,8.291367055560803,4.940852499328242,4.016118400266023,5.889145866472555,55.6572545159028,69.11136404151134,90.45961390898628,over-flexion,too high,too forward,underreach,stable,left-lean,left lean
84.97327922401266,161.7253108670544,153.9432738427596,199.15789423418647,185.46771657431768,53.556201232953924,13.859236704168032,-2.94791894906875,4.522924182005701,3.8814427736448014,57.71814764585398,66.46651527778127,70.42578652720009,over-flexion,too high,too forward,normal,stable,right-lean,left lean
66.37017332034829,134.87358798911583,143.86870685912965,180.07478124098014,168.84951279226735,41.65313199641783,13.476113742156492,3.270317077951132,9.90929342147446,2.9488936386168323,61.395545780978,55.7497189425068,84.55269207950556,under-flexion,normal,too forward,underreach,unstable,left-lean,left lean
65.45474901621301,148.6347238796326,152.83008962512503,178.1982751891095,187.0829485063379,45.06418833503086,7.106803973275628,-2.814321300028213,2.870972847274379,-3.5034401488047693,61.8397161057597,62.48955796509175,92.01930271816722,normal,normal,too forward,underreach,stable,right-lean,right lean
65.50213529560301,144.38834609102474,145.19656275880598,190.13902421785923,190.88961103573106,35.28159326565781,11.242904007832697,-3.4950895988593214,5.903016538330897,4.513677416208086,72.99170432924191,66.30885467030237,75.43873575035894,normal,normal,too forward,underreach,unstable,right-lean,left lean
69.12726728878613,142.1570164190595,157.72172217627033,165.29882625367705,178.92852747537594,35.13915174606582,5.726823155898149,5.33119391586661,9.885839942787658,0.30946612242655736,69.83625818533031,70.94413143412065,74.58139661722656,normal,normal,too forward,underreach,unstable,left-lean,normal
75.74269294896713,161.49416709905455,157.91379888533234,181.87662055172495,184.70907696247178,39.8025324090304,13.367107205834616,-5.7683469993856,8.128172871461217,4.671480264863467,74.44365936374082,63.76209579295153,89.30691564254857,over-flexion,normal,too forward,underreach,unstable,right-lean,left lean
72.95835055926347,130.76381888714212,145.94574408562653,181.84990400523404,178.25303695289594,37.0161439427817,6.745458835034965,5.584664443961156,9.940307507938801,-2.042066046901448,66.98143020670481,74.20116551529547,76.37716077798234,under-flexion,normal,too forward,underreach,unstable,left-lean,right lean
68.73687420594126,153.2326390161456,144.59987507926482,163.5789249124155,195.76365477031382,40.20422735871507,5.708147013857645,-4.2088572361343255,9.714684831941524,-5.255387368374807,59.83427464182636,60.4358750524735,74.79960668901622,normal,normal,too forward,underreach,unstable,right-lean,right lean
78.35558684167138,163.71880519747427,148.22607944132463,176.71936342027655,179.91476722057277,38.54086589056795,9.002190955388112,3.8332569815192183,5.4058558788473885,-0.288288376083047,61.553100598432856,69.89134390420632,79.44973126423088,over-flexion,normal,too forward,underreach,unstable,left-lean,normal
64.18481581956125,149.60588642116446,144.81063170360298,194.13139194268808,193.67234836115276,35.57040049677296,10.769221385996435,-2.688929363182763,7.267382648835092,-2.761948742185468,61.39671846583934,63.38062834168255,79.81255030675545,normal,too low,too forward,underreach,unstable,right-lean,right lean
68.76433945605655,162.78878617115822,153.44767686583407,194.2461448797864,192.05408233080993,53.18608292812099,13.54916958559771,-1.791572070831272,1.9939881424703598,2.582751477315579,61.52988655326503,64.71976989131812,91.85252657541415,over-flexion,normal,too forward,normal,stable,normal,left lean
