Feature,Importance
pelvis_angle_deviation,0.9443161295423844
avg_back_angle,0.005171627897835528
avg_elbow_angle,0.005049234173195556
reach,0.0050065819968003605
rider_inseam_length,0.004913503906336942
horizontal_distance,0.004870075252355027
mean_pelvis_angle,0.004798360554110667
rider_arm_length,0.004758979390465442
mean_spine_angle,0.004507991867563995
rider_torso_length,0.0044186071471454084
avg_neck_angle,0.004365248354151172
min_knee_angle,0.0041004696991470534
max_knee_angle,0.0037231902185084877
