Feature,Importance
min_knee_angle,0.6965416734458876
max_knee_angle,0.23724586739071743
avg_elbow_angle,0.0074030828095909785
rider_inseam_length,0.006493255986847839
pelvis_angle_deviation,0.0064278917067999595
mean_spine_angle,0.005922889188170437
avg_back_angle,0.005908572637815603
reach,0.005897622064133526
rider_arm_length,0.005869243270012304
avg_neck_angle,0.005763800009967024
rider_torso_length,0.005756414561504817
horizontal_distance,0.005392162751939125
mean_pelvis_angle,0.005377524176613531
