Feature,Importance
horizontal_distance,0.5353919638916671
rider_inseam_length,0.10218597953072317
rider_arm_length,0.05256369036380633
rider_torso_length,0.052253111557025216
reach,0.03295751075446412
pelvis_angle_deviation,0.030298995234161987
avg_elbow_angle,0.02895131583364075
avg_back_angle,0.02853931899278628
mean_pelvis_angle,0.028015550610397615
max_knee_angle,0.027822707086352687
mean_spine_angle,0.027390461172837437
min_knee_angle,0.02730775349547207
avg_neck_angle,0.026321641476665325
